"cluster","cluster.size","study","group"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3232349__gene_symbol__pfkp__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3251393__gene_symbol__ddit4__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3293435__gene_symbol__prf1__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3623552__gene_symbol__atp8b4__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3747966__gene_symbol__srebf1__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3772719__gene_symbol__lgals3bp__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3922444__gene_symbol__abcg1__meta-analysis","other"
40,328,"33771206_Nabais-MF_neurodegenerative_disorders_meta-analysis_of_als__ad__pd","other"
40,328,"Battram-T_cholesterol_esters_to_total_lipids_ratio_in_very_small_vldl",NA
40,328,"Battram-T_conjugated_linoleic_acid",NA
40,328,"Battram-T_isoleucine",NA
40,328,"Battram-T_leucine",NA
40,328,"Battram-T_ratio_of_conjugated_linoleic_acid_to_total_fatty_acids",NA
40,328,"Battram-T_total_cholesterol_to_total_lipids_ratio_in_very_small_vldl",NA
40,328,"Battram-T_total_lipids_in_small_hdl","cardiometabolic"
40,328,"Battram-T_valine",NA
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__2903285__gene_symbol__loc100507463__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3868998__gene_symbol__nkg7__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__4048265__gene_symbol__hla-drb1__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__2954280__gene_symbol__pex6__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3393670__gene_symbol__amica1__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__2324084__gene_symbol__cda__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3033209__gene_symbol__insig1__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__2928930__gene_symbol__phactr2__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3922037__gene_symbol__mx2__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3086206__gene_symbol__ctsb__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3645626__gene_symbol__il32__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3660175__gene_symbol__nod2__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__2353669__gene_symbol__cd2__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__2947889__gene_symbol__gabbr1__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3056264__gene_symbol__abhd11__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3821015__gene_symbol__ldlr__meta-analysis","cardiometabolic"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3174816__gene_symbol__anxa1__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3949017__gene_symbol__ttc38__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3317056__gene_symbol__not_mapped__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3042919__gene_symbol__mir196b__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__3091301__gene_symbol__ptk2b__meta-analysis","other"
41,1,"26483836_change_in_highdensity_lipoprotein_after_3_weeks_of_daily_fenofibrate","cardiometabolic"
42,1,"26483836_change_in_lowdensity_lipoprotein_after_3_weeks_of_daily_fenofibrate",NA
43,1,"26499864_tic_disorders",NA
44,1,"26563994_birth_weight_metaanalysis",NA
45,1,"26743604_psoriasis_stage_ii","age"
46,1,"26743604_psoriasis_stage_iii",NA
47,1,"26771251_arsenic_exposure_toenail","diet_environment"
48,2,"26771251_arsenic_exposure_placenta","diet_environment"
48,2,"26771251_Battram-T_arsenic_exposure_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse71678",NA
49,192,"22232023_smoking_current_vs_never_smoking","smoking"
49,192,"22851337_Joubert-BR_maternal_smoking_four_categories_of_smoke_exposure_derived_from_cotinine_measurements","smoking"
49,192,"23070629_smoking_females_only",NA
49,192,"23070629_smoking_males_only","smoking"
49,192,"23175441_smoking_breast_cancer_cohort","smoking"
49,192,"23175441_smoking_colon_cancer_cohort","smoking"
49,192,"23691101_smoking_current_vs_never_smoking_discovery","smoking"
49,192,"23691101_smoking_current_vs_never_smoking_replication","smoking"
49,192,"23691101_smoking_former_vs_never_smoking","smoking"
49,192,"23868178_right_vs_left_colon_adenomas_basic_model","cancer"
49,192,"23868178_right_vs_left_colon_adenomas_fully_adjusted_model","cancer"
49,192,"24014485_Petersen-A-K_m33390_x-12039_snps_as_covariates_model","other"
49,192,"24014485_Petersen-A-K_m33507_x-12092_no_snps_model","other"
49,192,"24014485_Petersen-A-K_m36098_4-vinylphenol_sulfate_no_snps_model","anthropometric"
49,192,"24014485_Petersen-A-K_m36098_4-vinylphenol_sulfate_snps_as_covariates_model","anthropometric"
49,192,"24120260_smoking","smoking"
49,192,"24334605_smoking","smoking"
49,192,"24500968_pancreatic_ductal_adenocarcinoma","cancer"
49,192,"24559495_Battram-T_smoking_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse53045","smoking"
49,192,"24559495_smoking","smoking"
49,192,"24704585_smoking",NA
49,192,"24906187_maternal_smoking_during_pregnancy_model_1","smoking"
49,192,"24906187_maternal_smoking_during_pregnancy_model_2","smoking"
49,192,"25249537_sex_discovery","sex"
49,192,"25249537_sex_replication","sex"
49,192,"25249537_smoking_current_vs_never_smoking_discovery","smoking"
49,192,"25249537_smoking_current_vs_never_smoking_replication","smoking"
49,192,"25324151_migration_in_italy_southtonorth_migrants_vs_northwestern_natives","other"
49,192,"25324151_migration_in_italy_southtonorth_migrants_vs_northwestern_natives_adjusted_for_diet","other"
49,192,"25325234_maternal_smoking_in_pregnancy_discovery","smoking"
49,192,"25325234_maternal_smoking_in_pregnancy_discovery_adjusted_for_current_participant_and_parent_smoking","smoking"
49,192,"25325234_maternal_smoking_in_pregnancy_discovery_adjusted_for_current_participant_smoking","smoking"
49,192,"25325234_maternal_smoking_in_pregnancy_replication_at_17",NA
49,192,"25325234_maternal_smoking_in_pregnancy_replication_at_age_7","age"
49,192,"25325234_maternal_smoking_in_pregnancy_replication_at_age_7_adjusted_for_current_parent_smoking","age"
49,192,"25325234_maternal_smoking_in_pregnancy_replication_at_birth","smoking"
49,192,"25424692_Battram-T_smoking_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse50660__former_vs_current_smokers","smoking"
49,192,"25424692_Battram-T_smoking_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse50660__never_vs_current_smokers","smoking"
49,192,"25424692_Battram-T_smoking_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse50660__never_vs_former_smokers","smoking"
49,192,"25424692_smoking","smoking"
49,192,"25552657_maternal_smoking_in_pregnancy_adjusted_model","smoking"
49,192,"25552657_maternal_smoking_in_pregnancy_unadjusted_model","smoking"
49,192,"25556184_smoking_current_vs_never_smoking","smoking"
49,192,"25556184_smoking_former_vs_never_smoking","smoking"
49,192,"25650246_sex","sex"
49,192,"25663950_smoking",NA
49,192,"26181258_smoking_discovery","smoking"
49,192,"26181258_smoking_replication","smoking"
49,192,"26181258_smoking_whole_blood","smoking"
49,192,"26441693_smoking","smoking"
49,192,"26500701_sex_kora_f3","sex"
49,192,"26500701_sex_kora_f4","sex"
49,192,"26500701_sex_metaanalysis","sex"
49,192,"26508088_aggressive_behaviour",NA
49,192,"26553366_sex","sex"
49,192,"26619905_wellbeing","neurological"
49,192,"26667048_lung_cancer","cancer"
49,192,"26756918_smoking","smoking"
49,192,"26826776_serum_cotinine_discovery","smoking"
49,192,"26826776_serum_cotinine_replication","smoking"
49,192,"26829059_smoking_current_vs_never_smoking","smoking"
49,192,"26829059_smoking_current_vs_never_smoking_adjusted_for_cell_counts","smoking"
49,192,"26829059_smoking_smoking_status","smoking"
49,192,"26861414_maternal_plasma_folate_generation_r","perinatal"
49,192,"26861414_maternal_plasma_folate_metaanalysis","perinatal"
49,192,"26861414_maternal_plasma_folate_moba","perinatal"
49,192,"26864933_smoking_current_vs_never_smoking","smoking"
49,192,"26864933_smoking_former_vs_never_smoking","smoking"
49,192,"27040690_maternal_smoking_in_pregnancy_any_maternal_smoking_in_pregnancy_effect_on_newborns","smoking"
49,192,"27040690_maternal_smoking_in_pregnancy_sustained_maternal_smoking_in_pregnancy_effect_on_newborns","smoking"
49,192,"27040690_maternal_smoking_in_pregnancy_sustained_maternal_smoking_in_pregnancy_effect_on_newborns_adjusted_for_cell_counts","smoking"
49,192,"27040690_maternal_smoking_in_pregnancy_sustained_maternal_smoking_in_pregnancy_effect_on_older_children","smoking"
49,192,"27105112_hiv_infection_cd4_tcells","other"
49,192,"27171005_maternal_smoking_during_pregnancy_discovery","smoking"
49,192,"27171005_maternal_smoking_during_pregnancy_replication_seed","smoking"
49,192,"27358653_Battram-T_fetal_alcohol_spectrum_disorder_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse80261","alcohol"
49,192,"27358653_fetal_alcohol_spectrum_disorder","alcohol"
49,192,"27651444_smoking_current_vs_never_smoking","smoking"
49,192,"27651444_smoking_former_vs_never_smoking","smoking"
49,192,"27824951_creactive_protein_kora_f4_discovery","cardiometabolic"
49,192,"27843151_alcohol_consumption_per_day_african_ancestry","alcohol"
49,192,"27843151_alcohol_consumption_per_day_european_ancestry","alcohol"
49,192,"28127622_intrauterine_exposure_to_diabetes","cardiometabolic"
49,192,"28225026_tobacco_smoking","smoking"
49,192,"28412973_Battram-T_prostate_cancer_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse76938",NA
49,192,"28686328_smoking","smoking"
49,192,"28708104_fruit_consumption","diet_environment"
49,192,"28708104_juice_consumption",NA
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_gp10","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_gp23","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_igp34","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_igp39","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_igp40","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_igp49","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_igp62","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_igp63","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_igp64","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_igp65","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_igp66","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_igp67","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_igp68","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_igp69","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_igp70","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_igp71","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_igp72","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_igp74","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_igp75","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_igp76","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_lc_igp43","other"
49,192,"29055820_Wahl-A_igg_glycosylation_measure_-_lc_igp45","other"
49,192,"29086770_educational_attainment_adjusted_model","sep"
49,192,"29086770_educational_attainment_basic_model","sep"
49,192,"29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_estimated_glomerular_filtration_rate_ewas","other"
49,192,"29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas","other"
49,192,"29311653_Marioni-R_cognitive_abilities__digit_test_basic_adjusted_model","neurological"
49,192,"29311653_Marioni-R_cognitive_abilities___digit_test_fully_adjusted_model","neurological"
49,192,"29325449_Marzi-SJ_smoking","smoking"
49,192,"29326313_Fernández-Sanlés-A._cardiovascular_risk_age-independent_cardiovascular_risk_was_determined_via_the_delta_age_approach__results_meta-analysesd_across_discovery_and_replicaton_cohorts","age"
49,192,"29326313_Fernández-Sanlés-A._cardiovascular_risk_age-independent_cardiovascular_risk_was_determined_via_the_residuals_approach__results_meta-analysesd_across_discovery_and_replicaton_cohorts","age"
49,192,"29419728_Svane-AM_mortality_discovery_cox_regression","other"
49,192,"30343628_Carmona-JJ_lung_function_discovery__fef25_-75__measurements_used_to_measure_lung_function","other"
49,192,"30343628_Carmona-JJ_lung_function_discovery__fev1","other"
49,192,"30343628_Carmona-JJ_lung_function_discovery__fvc_measurements_used_to_measure_lung_function",NA
49,192,"30631468_van-Dongen-J_educational_attainment_model_1","sep"
49,192,"30631468_van-Dongen-J_educational_attainment_model_2","sep"
49,192,"30631468_van-Dongen-J_educational_attainment_model_3","sep"
49,192,"30915882_Barcelona-V_smoking_discovery","smoking"
49,192,"30915882_Barcelona-V_smoking_replication","smoking"
49,192,"30935889_Birmingham-M_fev1","other"
49,192,"30935889_Birmingham-M_fev1_fvc","other"
49,192,"30938765_Wilson-LE_alcohol_consumption_replication_in_breast_tissue",NA
49,192,"30966880_Hannon-E_maternal_smoking","smoking"
49,192,"31073081_Imboden-M_fev1_meta-analysis","other"
49,192,"31073081_Imboden-M_fev1___fvc_meta-analysis","other"
49,192,"31073081_Imboden-M_fvc_meta-analysis","other"
49,192,"31262328_Wiklund-P._maternal_smoking_meta-analysis","smoking"
49,192,"31262328_Wiklund-P._maternal_smoking_meta-analysis_in_never_smokers_only","smoking"
49,192,"31536415_Sikdar-S_prenatal_smoke_exposure_inverse_varience-weighted_fixed-effects_meta-analysis","smoking"
49,192,"31536415_Sikdar-S_smoking_random_effects_meta-analysis","smoking"
49,192,"31552803_Dugue-PA_smoking_current_vs_never_smoking","smoking"
49,192,"31552803_Dugue-PA_smoking_former_vs_never_smoking","smoking"
49,192,"31789449_Dugue-P-A_alcohol_consumption_replication","alcohol"
49,192,"31892350_McCartney-DL_sex_discovery_using_moment__mixed_linear_model-based_method_","sex"
49,192,"31892350_McCartney-DL_sex_replication_using_moment__mixed_linear_model-based_method_","sex"
49,192,"31910897_Cronjé-HT_smoking","smoking"
49,192,"32478847_Reuben-A._place_of_residence_replication__generalized_estimating_equations__adjusting_for_smoking","smoking"
49,192,"32478847_Reuben-A._place_of_residence_replication__generalized_estimating_equations__adjusting_for_socioeconomic_position",NA
49,192,"32478847_Reuben-A._place_of_residence_replication__generalized_estimating_equations__without_adjusting_for_smoking","smoking"
49,192,"32484362_Domingo-Relloso-A_smoking_current_vs_never","smoking"
49,192,"32484362_Domingo-Relloso-A_smoking_former_vs_never","smoking"
49,192,"32484362_Domingo-Relloso-A_smoking_pack_years","smoking"
49,192,"32484362_Domingo-Relloso-A_urinary_cadmium","diet_environment"
49,192,"32484729_Eze-Inkenna_road_traffic_noise_pollution",NA
49,192,"32525743_Ma-J_mediterranean_diet_trans-ethnic_meta-analysis","diet_environment"
49,192,"33235198_Smith-AK_post-traumatic_stress_disorder_meta-analysis","neurological"
49,192,"33277923_Stephenson-M_alcohol_consumption_discovery","alcohol"
49,192,"33277923_Stephenson-M_alcohol_consumption_mz_within-pair_model","alcohol"
49,192,"33420481_van-Dongen-J_aggressive_behaviour_fully_adjusted_meta-analysis_in_whole_blood",NA
49,192,"33420481_van-Dongen-J_aggressive_behaviour_meta-analysis_in_whole_blood","neurological"
49,192,"33450751_Mulder-RH_age_sex_discovery","age"
49,192,"33450751_Mulder-RH_sex_discovery","sex"
49,192,"33468710_Kachroo-P_age_fetal_age","age"
49,192,"33593402_Christiansen-C_smoking_current_vs_never_smoking_meta-analysis_in_european_samples","smoking"
49,192,"33593402_Christiansen-C_smoking_current_vs_never_smoking_meta-analysis_in_trans-ethnic_samples","smoking"
49,192,"33593402_Christiansen-C_smoking_former_vs_never_smoking_meta-analysis_in_european_samples","smoking"
49,192,"33663600_Xu-R_maternal_smoking_discovery","smoking"
49,192,"33663600_Xu-R_maternal_smoking_discovery__black_only","smoking"
49,192,"33729499_Sun-Y-Q_lung_cancer","cancer"
49,192,"33729499_Sun-Y-Q_smoking","smoking"
49,192,"33748261_Terzikhan-N_diffusing_capacity_of_the_lung_for_carbon_monoxide_per_alveolar_volume__dlco_va__discovery_adjusted_for_weight_and_height","anthropometric"
49,192,"33748261_Terzikhan-N_diffusing_capacity_of_the_lung_for_carbon_monoxide_per_alveolar_volume__dlco_va__discovery_not_adjusted_for_weight_or_height","anthropometric"
49,192,"33748261_Terzikhan-N_diffusing_capacity_of_the_lung_for_carbon_monoxide_per_alveolar_volume__dlco_va__replication_adjusted_for_weight_and_height","anthropometric"
49,192,"33752734_Yao-C_gene_expression_of_affymetrix_id__3332663__gene_symbol__cd6__meta-analysis","other"
49,192,"33752734_Yao-C_gene_expression_of_affymetrix_id__3466687__gene_symbol__hal__meta-analysis","other"
49,192,"Battram-T_haemoglobin_fasting",NA
49,192,"33748261_Terzikhan-N_diffusing_capacity_of_the_lung_for_carbon_monoxide_per_alveolar_volume__dlco_va__replication_not_adjusted_for_weight_or_height","anthropometric"
49,192,"33752734_Yao-C_gene_expression_of_affymetrix_id__3035892__gene_symbol__gna12__meta-analysis","other"
49,192,"33752734_Yao-C_gene_expression_of_affymetrix_id__3864646__gene_symbol__kcnn4__meta-analysis","other"
49,192,"33752734_Yao-C_gene_expression_of_affymetrix_id__2798679__gene_symbol__exoc3__meta-analysis","other"
49,192,"33752734_Yao-C_gene_expression_of_affymetrix_id__2902416__gene_symbol__tnf__meta-analysis","other"
49,192,"33752734_Yao-C_gene_expression_of_affymetrix_id__3019158__gene_symbol__lrrn3__meta-analysis","other"
49,192,"33752734_Yao-C_gene_expression_of_affymetrix_id__3332729__gene_symbol__cd5__meta-analysis","other"
49,192,"Battram-T_testosterone",NA
49,192,"33752734_Yao-C_gene_expression_of_affymetrix_id__3466740__gene_symbol__lta4h__meta-analysis","other"
49,192,"33752734_Yao-C_gene_expression_of_affymetrix_id__3322807__gene_symbol__ldhc__meta-analysis","other"
49,192,"33752734_Yao-C_gene_expression_of_affymetrix_id__3643938__gene_symbol__tmem204__meta-analysis","other"
49,192,"33752734_Yao-C_gene_expression_of_affymetrix_id__3315675__gene_symbol__ifitm1__meta-analysis","other"
49,192,"33752734_Yao-C_gene_expression_of_affymetrix_id__3741547__gene_symbol__p2rx5-tax1bp3__meta-analysis","other"
49,192,"33752734_Yao-C_gene_expression_of_affymetrix_id__3770052__gene_symbol__sdk2__meta-analysis","other"
49,192,"33752734_Yao-C_gene_expression_of_affymetrix_id__2475710__gene_symbol__lclat1__meta-analysis","other"
49,192,"33752734_Yao-C_gene_expression_of_affymetrix_id__2358393__gene_symbol__adamtsl4__meta-analysis","other"
49,192,"33752734_Yao-C_gene_expression_of_affymetrix_id__3960174__gene_symbol__lgals2__meta-analysis","other"
50,1,"26889969_prenatal_maternal_stress",NA
51,2,"27015559_oldage_mortality_255_years",NA
51,2,"27015559_oldage_mortality_4_years",NA
52,1,"27019061_2hour_glucose_adjusted_for_bmi",NA
53,1,"27019061_2hour_insulin_adjusted_for_bmi",NA
54,1,"27058926_maternal_residential_proximity_to_major_roadways_adjusted_for_cell_counts",NA
55,1,"27058926_maternal_residential_proximity_to_major_roadways_discovery",NA
56,1,"27217153_attention_deficit_hyperactivity_disorder_trajectory_age_7",NA
57,1,"27236499_cow_milk_allergy_replication_boston",NA
58,1,"27236499_cow_milk_allergy_replication_chigaco",NA
59,1,"27358489_prostate_cancer_progression_replication",NA
60,3,"27383059_maternal_age_at_delivery_adjusted_for_cell_counts",NA
60,3,"27383059_maternal_age_at_delivery_discovery",NA
60,3,"32066674_Mooney-M._attention_deficit_hyperactivity_disorder_adhd_polygenic_risk_score","neurological"
61,1,"27383059_maternal_age_at_delivery_replication_moba",NA
62,1,"27383059_maternal_age_at_delivery_replication_sisters_study",NA
63,1,"27543902_Battram-T_acute_respiratory_distress_syndrome_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse67530",NA
64,1,"27602958_smoking_external_validation",NA
65,2,"27602958_smoking_packyears_discovery","smoking"
65,2,"27602958_smoking_packyears_discovery_and_replication","smoking"
66,1,"27602958_smoking_packyears_lung_adenocarcinoma","smoking"
67,1,"27602958_smoking_packyears_lung_squamous_cell","smoking"
68,1,"27602958_smoking_packyears_replication","smoking"
69,2,"27768648_Loucks-EB_body_mass_index",NA
69,2,"27768648_Loucks-EB_socioeconomic_position","sep"
70,1,"27777315_postprandial_lipemia_discovery_adjusted_for_baseline_triglycerides",NA
71,1,"27777315_postprandial_lipemia_discovery_and_replication_adjusted_for_baseline_triglycerides",NA
72,1,"27824951_creactive_protein_epicor",NA
73,1,"27824951_creactive_protein_lmu_cohort",NA
74,1,"27824951_creactive_protein_twinsuk",NA
75,1,"27832094_chronic_widespread_musculoskeletal_pain_discordant_mz_twins",NA
76,1,"27832094_chronic_widespread_musculoskeletal_pain_replication",NA
77,1,"27832094_chronic_widespread_musculoskeletal_pain_unrelated_twins",NA
78,2,"27884142_oxidised_glutathione","other"
78,2,"27884142_ratio_of_oxidised_glutathione_to_reduced_glutathione","other"
79,2,"27884142_reduced_glutathione","other"
79,2,"27884142_total_glutathione_level","other"
80,1,"27898055_type_1_diabetes","cardiometabolic"
81,1,"27922636_substance_use_dna_methylation_at_age_7",NA
82,1,"27922636_substance_use_dna_methylation_at_birth","diet_environment"
83,1,"27942592_Battram-T_asthma_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse85566",NA
84,1,"28032437_birth_weight",NA
85,1,"28032437_cortical_surface_area",NA
86,1,"28032437_cortical_thickness",NA
87,1,"28032437_cortical_volume",NA
88,2,"28062490_highdensity_lipoprotein_cholesterol_efflux_capacity","cardiometabolic"
88,2,"28062490_highdensity_lipoprotein_cholesterol_efflux_capacity_adjusted_for_hdl_cholesterol_levels","cardiometabolic"
89,3,"28067321_incident_atrial_fibrillation","cardiometabolic"
89,3,"28067321_incident_atrial_fibrillation_cellcount_adjusted_model","cardiometabolic"
89,3,"28067321_incident_atrial_fibrillation_multivariable_adjusted_model","cardiometabolic"
90,3,"28067321_prevalent_atrial_fibrillation",NA
90,3,"28067321_prevalent_atrial_fibrillation_cellcount_adjusted_model",NA
90,3,"28067321_prevalent_atrial_fibrillation_multivariable_adjusted_model","cardiometabolic"
91,1,"28074145_lupus_nephritis_vs_lupus_without_nephritis_replication",NA
92,1,"28095459_body_mass_index_lothian_birth_cohort_1921",NA
93,1,"28139377_plasma_adiponectin_replication_1",NA
94,1,"28139377_plasma_adiponectin_replication_1_adjusted_for_bmi",NA
95,1,"28139377_plasma_adiponectin_replication_1_adjusted_for_smoking_and_alcohol",NA
96,1,"28139377_plasma_adiponectin_replication_2",NA
97,1,"28139377_plasma_adiponectin_replication_2_adjusted_for_bmi",NA
98,1,"28139377_plasma_adiponectin_replication_2_adjusted_for_smoking_and_alcohol",NA
99,1,"28165855_early_spontaneous_preterm_birth_discovery","perinatal"
100,1,"28165855_early_spontaneous_preterm_birth_replication",NA
101,1,"28173150_serum_lowdensity_lipoprotein_cholesterol_discovery",NA
102,9,"26404063_plasma_resistin_level_discovery","cardiometabolic"
102,9,"26404063_plasma_resistin_level_discovery_adjusted_for_additional_covariates","cardiometabolic"
102,9,"26404063_plasma_resistin_level_replication","cardiometabolic"
102,9,"28173150_serum_lowdensity_lipoprotein_cholesterol_discovery_adjusted_for_surrogate_variables",NA
102,9,"28173150_serum_lowdensity_lipoprotein_cholesterol_discovery_and_replication",NA
102,9,"28173150_serum_lowdensity_lipoprotein_cholesterol_discovery_and_replication_adjusted_for_surrogate_variables",NA
102,9,"28173150_serum_total_cholesterol_discovery",NA
102,9,"28173150_serum_total_cholesterol_discovery_adjusted_for_surrogate_variables",NA
102,9,"33752734_Yao-C_gene_expression_of_affymetrix_id__3819076__gene_symbol__retn__meta-analysis","other"
103,1,"28173150_serum_lowdensity_lipoprotein_cholesterol_replication",NA
104,1,"28173150_serum_lowdensity_lipoprotein_cholesterol_replication_adjusted_for_surrogate_variables",NA
105,1,"28173150_serum_total_cholesterol_replication",NA
106,1,"28213390_serum_highdensity_lipoprotein_cholesterol_replication_adjusted_for_bmi",NA
107,1,"28394087_femoral_neck_bone_mineral_density_discovery_and_replication",NA
108,3,"28394087_femoral_neck_bone_mineral_density_discovery","anthropometric"
108,3,"28394087_femoral_neck_bone_mineral_density_discovery_and_replication_females_only","anthropometric"
108,3,"28394087_femoral_neck_bone_mineral_density_discovery_females_only","anthropometric"
109,1,"28394087_femoral_neck_bone_mineral_density_replication",NA
110,1,"28558807_utero_arsenic_exposure_replication",NA
111,1,"28603561_cleft_lip_vs_cleft_lip_palate",NA
112,1,"28621160_forced_vital_capacity",NA
113,1,"28624579_alanine_aminotransferase_replication",NA
114,1,"28785368_attention_deficit_hyperactivity_disorder_longterm_prenatal_exposure_to_paracetamol_versus_unexposed_to_paracetamol",NA
115,1,"28809857_grandmaternal_exposure_to_community_and_domestic_violence","other"
116,2,"28814982_subscapular_skinfold_thickness_and_triceps_skinfold_thickness_ratio_early_childhood","anthropometric"
116,2,"28814982_subscapular_skinfold_thickness_and_triceps_skinfold_thickness_ratio_early_childhood_adjusted_for_birthweight","perinatal"
117,5,"25617346_walking_speed",NA
117,5,"29055820_Wahl-A_igg_glycosylation_measure_-_gp4","other"
117,5,"29055820_Wahl-A_igg_glycosylation_measure_-_igp43","other"
117,5,"29055820_Wahl-A_igg_glycosylation_measure_-_igp55","other"
117,5,"29055820_Wahl-A_igg_glycosylation_measure_-_igp57","other"
118,1,"29235940_Battram-T_fetal_intolerance_of_labor_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse107459","perinatal"
119,3,"29311653_Marioni-R_cognitive_abilities__vocabulary_basic_adjusted_model","neurological"
119,3,"29311653_Marioni-R_cognitive_abilities__vocabulary_fully_adjusted_model","neurological"
119,3,"33752734_Yao-C_gene_expression_of_affymetrix_id__3316126__gene_symbol__tmem80__meta-analysis","other"
120,1,"29325449_Marzi-SJ_sexual_abuse_discovery","sex"
121,1,"29410382_Lichtenfels-AJ_particulate_matter__2_5um__pm2_5_",NA
122,2,"30101351_Chamberlain-JA_folate_intake",NA
122,2,"30101351_Chamberlain-JA_riboflavin_intake",NA
123,1,"30101351_Chamberlain-JA_vitamin_b6_intake",NA
124,1,"30376510_Van-Roekel-E_leisure_time_physical_activity_phyisical_activity_measured_using_metabolic_equivalent_of_task","other"
125,1,"30376510_Van-Roekel-E_leisure_time_physical_activity_some_versus_no_leisure-time_activity",NA
126,2,"30376510_Van-Roekel-E_television_viewing_time",NA
126,2,"30376510_Van-Roekel-E_time_spent_sitting",NA
127,1,"30579849_Reese-SE_asthma_meta-analysis_with_dnam_measured_in_newborns",NA
128,1,"30590607_Alfano-R_maternal_education_dnam_measured_at_age_15",NA
129,1,"30698680_Battram-T_multiple_sclerosis_treatment_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse112596__fumaric_acid_ester-treated_ms_patients_vs_treatment_naive_patients",NA
